,Actor,Text,Class,Matt,Trevis,Talesin,Marisha,Orion,Lora,Liam,Sam,Zack,Nongaming,Metagaming,Gaming
0,МЭТТ,Привет всем.,0,1,0,0,0,0,0,0,0,0,1,0,0
1,МЭТТ,"Меня зовут Мэттью Мёрсер, я актёр озвучки и Мастер Подземелий в шоу Critical Role на Geek & Sundry, где я собираю кучу других актёров озвучки и провожу их через фантастические приключения в мире ""Подземелий и драконов"".",0,1,0,0,0,0,0,0,0,0,1,0,0
2,МЭТТ,Мы играем каждый четверг в 19:00 по тихоокеанскому времени на Twitch-стриме Geek & Sundry.,0,1,0,0,0,0,0,0,0,0,1,0,0
3,МЭТТ,"Прошу, приходите смотреть нас онлайн, если можете.",0,1,0,0,0,0,0,0,0,0,1,0,0
4,МЭТТ,"Прошедшие, а также грядущие эпизоды будут загружены на сайт Geek & Sundry.",0,1,0,0,0,0,0,0,0,0,1,0,0
5,МЭТТ,Так что вы можете найти их там.,0,1,0,0,0,0,0,0,0,0,1,0,0
6,МЭТТ,Ну а теперь наслаждайтесь!,0,1,0,0,0,0,0,0,0,0,1,0,0
7,МЭТТ,"Добро пожаловать на первый эпизод Critical Role, который по сути является продолжением наших еженедельных сессий в D&D.",0,1,0,0,0,0,0,0,0,0,1,0,0
8,МЭТТ,"Мы с группой замечательных увлечённых актеров озвучки собираемся вместе, бросаем кости, убиваем монстров и участвуем в приключениях.",0,1,0,0,0,0,0,0,0,0,1,0,0
9,МЭТТ,"И теперь мы имеем честь поделиться этим с вами для просмотра, для веселья и живого взаимодействия с нами.",0,1,0,0,0,0,0,0,0,0,1,0,0
10,МЭТТ,"Но перед этим покажем вам небольшую предысторию персонажей, которых вы увидите в этом эпизоде.",0,1,0,0,0,0,0,0,0,0,1,0,0
11,МЭТТ,Мы собираемся показать вам видео буквально через секунду.,0,1,0,0,0,0,0,0,0,0,1,0,0
12,МЭТТ,"Но на заметку для вас, хардкорных геймеров: игра большей частью ведётся по домашним правилам для непринужденного и веселого времяпровождения.",0,1,0,0,0,0,0,0,0,0,1,0,0
13,МЭТТ,"Так что, вы, любители цифр, расслабьтесь и получайте удовольствие.",0,1,0,0,0,0,0,0,0,0,1,0,0
14,МЭТТ,"Тем не менее, у нас есть кое-какие предыстории того множества персонажей, которых вы сегодня увидите, чтобы помочь вам влиться в историю.",0,1,0,0,0,0,0,0,0,0,1,0,0
15,МЭТТ,"Давайте перейдём к игре через пару минут, а пока мы представим вам игроков, так что наслаждайтесь.",0,1,0,0,0,0,0,0,0,0,1,0,0
16,ТРЭВИС,"Так, слушай сюда!",2,0,1,0,0,0,0,0,0,0,0,0,1
17,ТРЭВИС,"Если у тебя есть эль, значит, у тебя есть друг Грог Стронгджо!",2,0,1,0,0,0,0,0,0,0,0,0,1
18,ТРЭВИС,"Голиаф внушительного роста и размеров, у этого варвара две страсти в жизни: битвы, женщины и эль!",2,0,1,0,0,0,0,0,0,0,0,0,1
19,ТРЭВИС,(хихикает) (помехи) Погодите.,2,0,1,0,0,0,0,0,0,0,0,0,1
20,ТРЭВИС,"Очевидно, как с умнейшим из отряда, с Грогом часто советуются из-за его обширных знаний форм, цветов, и (хихикает) блестяшек.",2,0,1,0,0,0,0,0,0,0,0,0,1
21,ТРЭВИС,... а также эля.,2,0,1,0,0,0,0,0,0,0,0,0,1
22,ТРЭВИС,"В юности, вооруженный своей двуручной секирой Грог часто любил доказывать своё превосходство над соплеменниками в кочевой общине своего клана.",2,0,1,0,0,0,0,0,0,0,0,0,1
23,ТРЭВИС,"Но наткнувшись на ничего не подозревающего пожилого гнома в лесу, он отказался обрывать столь невинную жизнь.",2,0,1,0,0,0,0,0,0,0,0,0,1
24,ТРЭВИС,"Как создание импульсивное, Грог почувствовал лишь жалость к ...",2,0,1,0,0,0,0,0,0,0,0,0,1
25,ТРЭВИС,"ну, к этому испуганному маленькому существу.",2,0,1,0,0,0,0,0,0,0,0,0,1
26,ТРЭВИС,И его непослушание дорого ему стоило.,2,0,1,0,0,0,0,0,0,0,0,0,1
27,ТРЭВИС,"(лязг оружия) Жестоко избитый и изгнанный лидером племени, его дядей Кевдаком, Грог был забыт и брошен умирать.",2,0,1,0,0,0,0,0,0,0,0,0,1
28,ТРЭВИС,"И именно тогда, в изгнании, родственница того самого гнома, за которого он заступился, спасла его самого.",2,0,1,0,0,0,0,0,0,0,0,0,1
29,ТРЭВИС,"Добрая гномка-жрица по имени Пайк вылечила Грога, выдернув его из объятий смерти.",2,0,1,0,0,0,0,0,0,0,0,0,1
30,ТРЭВИС,С тех пор они близкие друзья.,2,0,1,0,0,0,0,0,0,0,0,0,1
31,ТРЭВИС,"(звуки драки) Чуть ли не каждую ночь Грог проводит, бросая вызов целым тавернам!",2,0,1,0,0,0,0,0,0,0,0,0,1
32,ТРЭВИС,Ха!,2,0,1,0,0,0,0,0,0,0,0,0,1
33,ТРЭВИС,"... или составляя компанию Сканлану в ближайшем доме, где платят за ...",2,0,1,0,0,0,0,0,0,0,0,0,1
34,ТРЭВИС,дамские услуги.,2,0,1,0,0,0,0,0,0,0,0,0,1
35,ТРЭВИС,А ещё за элем!,2,0,1,0,0,0,0,0,0,0,0,0,1
36,МАРИША,Первое впечатление о Килет дало бы вам очень мало информации о полуэльфийке-друидке.,2,0,0,0,1,0,0,0,0,0,0,0,1
37,МАРИША,"Вам может показаться, что её социальная неловкость из-за изолированного воспитания – это мило.",2,0,0,0,1,0,0,0,0,0,0,0,1
38,МАРИША,"(хихикает) Конечно, было бы неразумно недооценивать её, основываясь на первом впечатлении.",2,0,0,0,1,0,0,0,0,0,0,0,1
