,Unnamed: 0,Actor,Text,Class,Matt,Trevis,Talesin,Marisha,Orion,Lora,Liam,Sam,Zack,Nongaming,Metagaming,Gaming,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,ћЁ““,привет всем .,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.032006223,-0.04778635,-0.052296463,0.0036933185,0.020871425,-0.012570468,0.0057621226,0.039845034,-0.06725203,-0.008594498,0.032093845,-0.004830337,-0.004406189,0.012080365,0.022609733,0.0074837473,0.012951824,0.07536329,-0.026608877,-0.07045915
1,1,ћЁ““,"мен€ зовут мэттью мерсер € актер озвучки и мастер подземелий в шоу critical role на geek & sundry где € собираю кучу других актеров озвучки и провожу их через фантастические приключени€ в мире "" подземелий и драконов "" .",0,1,0,0,0,0,0,0,0,0,1,0,0,-0.07804922,0.3526745,0.12576203,-0.019107308,0.0006617397,0.1136921,-0.050376758,-0.061784722,-0.017765837,0.0158529,-0.019000897,0.0069874604,-0.01887863,-0.033884216,-0.040697113,-0.04545664,-0.026808139,-0.0379263,0.042619452,-0.024938667
2,2,ћЁ““,мы играем каждый четверг в 19 00 по тихоокеанскому времени на twitch-стриме geek & sundry .,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.043031834,0.02841267,-0.046697732,-0.002995348,-0.04835209,0.14909312,0.07057567,-0.046431817,-0.013320254,-0.0061856336,0.0060521527,-0.0040192106,0.0052252305,0.0031444074,0.012119266,0.006826131,0.009824465,0.029127605,-0.019633448,-0.005506178
3,3,ћЁ““,прошу приходите смотреть нас онлайн если можете .,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.02945661,-0.032649647,-0.051972173,0.008341625,0.0047591734,-0.0043080347,-0.0077153086,0.019586125,-0.039354462,-0.021781754,-0.004034317,-0.018057091,0.0107770385,-0.0030709011,0.013179547,0.037866373,-0.0029284754,0.013816149,-0.011355364,-0.007871087
4,4,ћЁ““,прошедшие а также гр€дущие эпизоды будут загружены на сайт geek & sundry .,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.032114297,0.0066474583,-0.057076573,-0.012034956,-0.053303767,0.17840357,-0.067820266,0.6072172,0.41542011,-0.030946612,0.00673724,-0.004477737,0.015919328,0.0057667396,0.011040007,0.010874296,-0.0036207635,-2.9211802e-05,0.005000045,-0.004666422
5,5,ћЁ““,так что вы можете найти их там .,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.03326767,-0.025207652,-0.05927421,0.0084091,-0.012466438,-0.012248162,-0.022673782,0.0014617684,-0.014281692,-0.0021172,0.0048855315,-0.0019342926,0.010334024,-0.0006675376,0.012282875,0.023992699,-0.0009959906,0.02662916,-0.025437338,0.0044545922
6,6,ћЁ““,ну а теперь наслаждайтесь !,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.007951445,-0.030892184,0.06557349,-0.17318854,-0.13556993,0.3703207,-0.12369679,1.2350063,0.9174123,-0.019797048,0.029106319,0.02505839,0.022567604,0.012182741,0.005729285,0.019378746,-0.013535821,-0.04059785,0.014379964,0.016017893
7,7,ћЁ““,добро пожаловать на первый эпизод critical role который по сути €вл€етс€ продолжением наших еженедельных сессий в d&d .,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.045906022,0.042240627,-0.046556946,-0.004488564,-0.05773208,0.18473877,0.08532863,-0.060641214,-0.012973691,-0.003872795,0.005179112,-0.002803278,0.00383952,0.0033793661,0.012732106,0.00820551,0.009534567,0.027761865,-0.019531505,-0.0040872316
8,8,ћЁ““,мы с группой замечательных увлеченных актеров озвучки собираемс€ вместе бросаем кости убиваем монстров и участвуем в приключени€х .,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.10577254,0.5567708,0.1572531,0.008321987,-0.10804537,-0.015995037,0.5569637,-0.10694574,0.13691096,0.03237261,0.036835298,0.047996573,-0.0071783443,0.04419352,0.016514173,-0.041593704,0.0037777964,-0.001521411,0.020795044,-0.0096608875
9,9,ћЁ““,и теперь мы имеем честь поделитьс€ этим с вами дл€ просмотра дл€ весель€ и живого взаимодействи€ с нами .,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.08986153,0.5194295,0.20987226,0.018573489,0.031670522,-0.35319477,0.23818986,0.034806464,0.07749748,-0.0012341639,0.01915711,0.020263586,0.0006275954,0.028348388,0.014034991,-0.016510721,0.004410993,0.008880164,0.0067437673,-0.015719932
